,category,danger,latitude,longitude,name_en,states_name_en,unique_number
71,Cultural,0,50.835,4.4161111111,Stoclet House,Belgium,1578
72,Cultural,0,50.4352777778,3.8383333333,Major Mining Sites of Wallonia,Belgium,1837
73,Cultural,0,50.43077,3.97879,Neolithic Flint Mines at Spiennes (Mons),Belgium,1174
74,Cultural,0,51.21833,4.39778,Plantin-Moretus House-Workshops-Museum Complex,Belgium,1362
75,Cultural,0,51.20891,3.22527,Historic Centre of Brugge,Belgium,1160
76,Natural,0,16.75,-87.05833333,Belize Barrier Reef Reserve System,Belize,900
77,Natural,0,11.8841666667,2.4877777778,W-Arly-Pendjari Complex,Benin,2129
78,Cultural,0,7.183333333,1.983333333,Royal Palaces of Abomey,Benin,1560
79,Cultural,0,-19.04306,-65.25917,Historic City of Sucre,Bolivia (Plurinational State of),668
80,Cultural,0,-16.0,-60.5,Jesuit Missions of the Chiquitos,Bolivia (Plurinational State of),619
81,Cultural,0,-16.55833333,-68.67778,Tiwanaku: Spiritual and Political Centre of the Tiwanaku Culture,Bolivia (Plurinational State of),670
82,Natural,0,-14.26667,-60.86667,Noel Kempff Mercado National Park,Bolivia (Plurinational State of),1131
83,Cultural,0,-18.16666667,-63.81666667,Fuerte de Samaipata,Bolivia (Plurinational State of),1035
84,Cultural,1,-19.58361,-65.75306,City of Potosí,Bolivia (Plurinational State of),484
85,Cultural,0,43.34812,17.81092,Old Bridge Area of the Old City of Mostar,Bosnia and Herzegovina,1107
86,Cultural,0,43.7814444444,19.288025,Mehmed Paša Sokolovi? Bridge in Višegrad,Bosnia and Herzegovina,1437
87,Cultural,0,43.0922138889,17.9240527778,Ste?ci Medieval Tombstone Graveyards,Bosnia and Herzegovina,2094
88,Cultural,0,-18.75,21.73333333,Tsodilo,Botswana,1191
89,Natural,0,-19.2833333333,22.9,Okavango Delta,Botswana,1976
90,Natural,0,-14.00569444,-47.68461111,Cerrado Protected Areas: Chapada dos Veadeiros and Emas National Parks,Brazil,1208
91,Cultural,0,-19.8519444444,-43.9736111111,Pampulha Modern Ensemble,Brazil,2077
92,Cultural,0,-15.93328,-50.13336,Historic Centre of the Town of Goiás,Brazil,1157
93,Natural,0,-16.5,-39.25,Discovery Coast Atlantic Forest Reserves,Brazil,1044
94,Cultural,0,-2.514166667,-44.3025,Historic Centre of São Luís,Brazil,970
95,Cultural,0,-12.96666667,-38.5,Historic Centre of Salvador de Bahia,Brazil,348
96,Cultural,0,-22.8971111111,-43.1873944444,Valongo Wharf Archaeological Site,Brazil,2173
97,Cultural,0,-15.78333,-47.9,Brasilia,Brazil,516
98,Mixed,0,-23.0186055556,-44.6853694444,Paraty and Ilha Grande – Culture and Biodiversity,Brazil,2264
99,Natural,0,-24.16667,-48.0,Atlantic Forest South-East Reserves,Brazil,1045
100,Cultural,0,-11.0161111111,-37.21,São Francisco Square in the Town of São Cristóvão,Brazil,1725
101,Natural,0,-25.68333,-54.43333,Iguaçu National Park,Brazil,408
102,Cultural,0,-22.9477777778,-43.2913888889,Rio de Janeiro: Carioca Landscapes between the Mountain and the Sea,Brazil,1843
103,Cultural,0,-8.013333333,-34.845,Historic Centre of the Town of Olinda,Brazil,210
104,Cultural,0,-20.38888889,-43.50555556,Historic Town of Ouro Preto,Brazil,136
105,Cultural,0,-18.23333333,-43.6,Historic Centre of the Town of Diamantina,Brazil,1042
106,Natural,0,-17.71667,-57.38333,Pantanal Conservation Area,Brazil,1164
107,Natural,0,-3.857944444,-32.42511111,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,Brazil,1166
108,Natural,0,-2.333333333,-62.00833333,Central Amazon Conservation Complex,Brazil,1163
109,Cultural,0,-8.416666667,-42.33333333,Serra da Capivara National Park,Brazil,719
110,Cultural,0,-28.54333333,-54.26583333,"Jesuit Missions of the Guaranis: San Ignacio Mini, Santa Ana, Nuestra Señora de Loreto and Santa Maria Mayor (Argentina), Ruins of Sao Miguel das Missoes (Brazil)",Brazil,326
111,Cultural,0,-20.49972222,-43.85777778,Sanctuary of Bom Jesus do Congonhas,Brazil,380
112,Cultural,0,42.65,23.26666667,Boyana Church,Bulgaria,46
113,Natural,0,41.7427222222,23.4304722222,Pirin National Park,Bulgaria,1641
114,Cultural,0,42.61666667,25.4,Thracian Tomb of Kazanlak,Bulgaria,48
115,Cultural,0,43.71666667,25.96666667,Rock-Hewn Churches of Ivanovo,Bulgaria,49
116,Cultural,0,42.11666667,23.4,Rila Monastery,Bulgaria,239
117,Cultural,0,43.3,27.15,Madara Rider,Bulgaria,47
118,Cultural,0,42.65611,27.73,Ancient City of Nessebar,Bulgaria,240
119,Natural,0,44.11444,27.07806,Srebarna Nature Reserve,Bulgaria,1621
120,Cultural,0,43.66667,26.66667,Thracian Tomb of Sveshtari,Bulgaria,412
121,Cultural,0,12.5877583333,-3.3289861111,Ancient ferrous metallurgy sites of Burkina Faso,Burkina Faso,2290
122,Cultural,0,10.25,-3.5833333333,Ruins of Loropéni,Burkina Faso,1696
123,Cultural,0,14.9151388889,-23.6051944444,"Cidade Velha, Historic Centre of Ribeira Grande",Cabo Verde,1600
124,Cultural,0,12.8725,105.0430555556,"Temple Zone of Sambor Prei Kuk, Archaeological Site of Ancient Ishanapura",Cambodia,2140
125,Cultural,0,14.3883333333,104.6838888889,Temple of Preah Vihear,Cambodia,1591
126,Cultural,0,13.43333333,103.8333333,Angkor,Cambodia,791
127,Natural,0,3.0,13.0,Dja Faunal Reserve,Cameroon,470
128,Natural,0,50.76777778,-111.4922222,Dinosaur Provincial Park,Canada,75
129,Cultural,0,45.1183333333,-64.3072222222,Landscape of Grand Pré,Canada,1828
130,Cultural,0,44.37611111,-64.30916667,Old Town Lunenburg,Canada,875
131,Cultural,0,51.46666667,-55.61666667,L’Anse aux Meadows National Historic Site,Canada,2248
132,Cultural,0,49.075,-111.6333333333,Writing-on-Stone / Áísínai’pi,Canada,2295
133,Natural,0,61.54722222,-125.5894444,Nahanni National Park,Canada,27
134,Natural,0,46.635,-53.2111111111,Mistaken Point,Canada,2083
135,Cultural,0,46.80944444,-71.21055556,Historic District of Old Québec,Canada,336
136,Cultural,0,51.726925,-56.4295222222,Red Bay Basque Whaling Station,Canada,1874
137,Natural,0,51.42472222,-116.4797222,Canadian Rocky Mountain Parks,Canada,342
138,Cultural,0,44.9943861111,-75.765125,Rideau Canal,Canada,1475
139,Natural,0,45.7097222222,-64.4358333333,Joggins Fossil Cliffs,Canada,1516
140,Cultural,0,49.74944444,-113.6238889,Head-Smashed-In Buffalo Jump,Canada,176
141,Mixed,0,51.8264166667,-95.4112777778,Pimachiowin Aki,Canada,2214
142,Natural,0,59.35833333,-112.2933333,Wood Buffalo National Park,Canada,286
143,Natural,0,49.6125,-57.53138889,Gros Morne National Park,Canada,483
144,Natural,0,48.105,-66.35305556,Miguasha National Park,Canada,812
145,Cultural,0,52.095,-131.2202778,S<U>G</U>ang Gwaay,Canada,175
146,Natural,0,61.19758333,-140.9919722,Kluane / Wrangell-St. Elias / Glacier Bay / Tatshenshini-Alsek,"Canada,United States of America",78
147,Natural,0,48.99605556,-113.9041667,Waterton Glacier International Peace Park,"Canada,United States of America",407
148,Natural,1,9.0,21.5,Manovo-Gounda St Floris National Park,Central African Republic,553
149,Mixed,0,17.0416666667,21.8627777778,Ennedi Massif: Natural and Cultural Landscape,Chad,2091
150,Natural,0,19.055,20.5055555556,Lakes of Ounianga,Chad,1824
151,Cultural,0,-27.15,-109.45,Rapa Nui National Park,Chile,846
152,Cultural,0,-18.25,-69.5916666667,"Qhapaq Ñan, Andean Road System",Chile,2003
153,Cultural,0,-42.5,-73.76666667,Churches of Chiloé,Chile,1135
154,Cultural,0,-20.20582,-69.79406,Humberstone and Santa Laura Saltpeter Works,Chile,1869
155,Cultural,0,-34.0844444444,-70.3827777777,Sewell Mining Town,Chile,1391
156,Cultural,0,-33.04063889,-71.628,Historic Quarter of the Seaport City of Valparaíso,Chile,1123
157,Cultural,0,30.2375,120.1408333333,West Lake Cultural Landscape of Hangzhou,China,1765
158,Natural,0,24.6688888889,102.9772222222,Chengjiang Fossil Site,China,1803
159,Cultural,0,42.358,116.1851277778,Site of Xanadu,China,1804
160,Natural,0,28.4219444444,106.0425,China Danxia,China,1676
161,Natural,0,28.9158333333,118.0644444444,Mount Sanqingshan National Park,China,1523
162,Natural,0,29.33333,110.5,Wulingyuan Scenic and Historic Interest Area,China,760
163,Cultural,0,41.79416667,123.4469444,Imperial Palaces of the Ming and Qing Dynasties in Beijing and Shenyang,China,510
164,Cultural,0,40.41667,116.08333,The Great Wall,China,508
165,Natural,0,41.9683333333,80.3541666667,Xinjiang Tianshan,China,1876
166,Natural,0,27.895,98.40638889,Three Parallel Rivers of Yunnan Protected Areas,China,1731
167,Cultural,0,40.13333,94.81667,Mogao Caves,China,511
168,Cultural,0,39.0305555556,113.5633333333,Mount Wutai,China,1587
169,Cultural,0,22.2555555556,107.0230555556,Zuojiang Huashan Rock Art Cultural Landscape,China,2100
170,Natural,0,32.9319444444,121.0168138889,Migratory Bird Sanctuaries along the Coast of Yellow Sea-Bohai Gulf of China (Phase I),China,2304
171,Natural,0,24.9233333333,110.3544444444,South China Karst,China,1965
172,Cultural,0,34.4587472222,113.0677194444,Historic Monuments of Dengfeng in “The Centre of Heaven and Earth”,China,1726
173,Natural,0,35.3802777778,92.4391666667,Qinghai Hoh Xil,China,2141
174,Natural,0,31.4697222222,110.2438888889,Hubei Shennongjia,China,2101
175,Cultural,0,36.1266666666,114.3138888888,Yin Xu,China,1293
176,Natural,0,30.8333333333,103.0,"Sichuan Giant Panda Sanctuaries - Wolong, Mt Siguniang and Jiajin Mountains ",China,1390
177,Mixed,0,36.26667,117.1,Mount Taishan,China,507
178,Cultural,0,31.00167,103.60528,Mount Qingcheng and the Dujiangyan Irrigation System,China,1167
179,Cultural,0,30.3955555556,119.9908333333,Archaeological Ruins of Liangzhu City,China,2277
180,Natural,0,27.8955555556,108.68,Fanjingshan,China,2224
181,Cultural,0,24.4475,118.0619444444,"Kulangsu, a Historic International Settlement",China,2142
182,Cultural,0,34.6938888889,112.4683333333,The Grand Canal,China,2181
183,Cultural,0,28.9986111111,109.9669444444,Tusi Sites,China,2035
184,Cultural,0,34.3044444444,108.8572222222,Silk Roads: the Routes Network of Chang'an-Tianshan Corridor,China,1985
185,Cultural,0,29.65792,91.11717,"Historic Ensemble of the Potala Palace, Lhasa",China,837
186,Cultural,0,39.84555556,116.4447222,Temple of Heaven: an Imperial Sacrificial Altar in Beijing,China,1033
187,Cultural,0,29.43333333,115.8666667,Lushan National Park,China,921
188,Cultural,0,26.86667,100.23333,Old Town of Lijiang,China,1934
189,Mixed,0,30.16667,118.18333,Mount Huangshan,China,1933
190,Mixed,0,29.5449,103.76925,"Mount Emei Scenic Area, including Leshan Giant Buddha Scenic Area",China,922
191,Cultural,0,25.0230555556,117.6858333333,Fujian <em>Tulou</em>,China,1505
192,Cultural,0,35.61167,116.975,Temple and Cemetery of Confucius and the Kong Family Mansion in Qufu,China,832
193,Cultural,0,39.73333333,115.9166667,Peking Man Site at Zhoukoudian,China,521
194,Cultural,0,31.31666667,120.45,Classical Gardens of Suzhou,China,961
195,Natural,0,33.08333,103.91667,Jiuzhaigou Valley Scenic and Historic Interest Area,China,757
196,Natural,0,32.75417,103.82222,Huanglong Scenic and Historic Interest Area,China,758
197,Cultural,0,40.98694,117.93833,"Mountain Resort and its Outlying Temples, Chengde",China,831
198,Cultural,0,41.15694444,126.1872222,Capital Cities and Tombs of the Ancient Koguryo Kingdom,China,1315
199,Cultural,0,32.46667,111.0,Ancient Building Complex in the Wudang Mountains,China,833
200,Cultural,0,22.1912919444,113.5364611111,Historic Centre of Macao,China,1289
201,Cultural,0,29.70111,105.705,Dazu Rock Carvings,China,1065
202,Mixed,0,27.71667,117.68333,Mount Wuyi,China,2245
203,Cultural,0,39.91055556,116.1411111,"Summer Palace, an Imperial Garden in Beijing",China,1032
204,Cultural,0,22.2855194444,112.5658611111,Kaiping Diaolou and Villages,China,1459
205,Cultural,0,34.38333333,109.1,Mausoleum of the First Qin Emperor,China,512
206,Cultural,0,23.0932777778,102.7799805556,Cultural Landscape of Honghe Hani Rice Terraces ,China,1877
207,Cultural,0,41.70722222,124.7938889,Imperial Tombs of the Ming and Qing Dynasties,China,1172
208,Cultural,0,34.46666667,112.4666667,Longmen Grottoes,China,1169
209,Cultural,0,29.90444444,117.9875,Ancient Villages in Southern Anhui – Xidi and Hongcun,China,1168
210,Cultural,0,37.20139,112.15444,Ancient City of Ping Yao,China,959
211,Cultural,0,40.10972,113.12222,Yungang Grottoes,China,1213
212,Cultural,0,9.233333333,-74.43333333,Historic Centre of Santa Cruz de Mompox,Colombia,876
213,Natural,0,3.9666666667,-81.6166666666,Malpelo Fauna and Flora Sanctuary,Colombia,1393
214,Natural,0,7.666666667,-77.0,Los Katíos National Park,Colombia,841
215,Cultural,0,10.41666667,-75.53333333,"Port, Fortresses and Group of Monuments, Cartagena",Colombia,319
216,Cultural,0,5.4716666667,-75.6816666667,Coffee Cultural Landscape of Colombia,Colombia,1787
217,Mixed,0,0.5252777778,-72.7972222222,Chiribiquete National Park – “The Maloca of the Jaguar”,Colombia,2213
218,Cultural,0,2.583333333,-76.03333333,National Archeological Park of Tierradentro,Colombia,877
219,Cultural,0,1.916666667,-76.23333333,San Agustín Archaeological Park,Colombia,878
220,Natural,0,2.6094444444,16.5541666667,Sangha Trinational,Congo,1920
221,Cultural,0,8.9113888889,-83.4775,Precolumbian Chiefdom Settlements with Stone Spheres of the Diquís,Costa Rica,1997
222,Natural,0,5.533333333,-87.06666667,Cocos Island National Park,Costa Rica,969
223,Natural,0,9.407083333,-82.93880556,Talamanca Range-La Amistad Reserves / La Amistad National Park,Costa Rica,226
224,Natural,0,10.85,-85.61666667,Area de Conservación Guanacaste,Costa Rica,1083
225,Cultural,0,43.50944,16.44333,Historical Complex of Split with the Palace of Diocletian,Croatia,105
226,Natural,0,44.87778,15.61444,Plitvice Lakes National Park,Croatia,106
227,Cultural,0,42.65056,18.09139,Old City of Dubrovnik,Croatia,2315
228,Cultural,0,43.5125,16.25167,Historic City of Trogir,Croatia,957
229,Cultural,0,45.22917,13.59444,Episcopal Complex of the Euphrasian Basilica in the Historic Centre of Pore?,Croatia,956
230,Cultural,0,43.73629,15.89038,The Cathedral of St James in Šibenik,Croatia,1127
231,Cultural,0,43.1816666667,16.6386111111,Stari Grad Plain,Croatia,1484
232,Cultural,0,22.14722,-80.45278,Urban Historic Centre of Cienfuegos ,Cuba,1379
233,Cultural,0,21.3786111111,-77.9186111111,Historic Centre of Camagüey,Cuba,1482
234,Cultural,0,23.13333333,-82.35,Old Havana and its Fortification System,Cuba,225
235,Cultural,0,22.61667,-83.71667,Viñales Valley,Cuba,991
236,Cultural,0,19.96666667,-75.87083333,"San Pedro de la Roca Castle, Santiago de Cuba",Cuba,992
237,Natural,0,19.88333,-77.63333,Desembarco del Granma National Park,Cuba,1041
238,Cultural,0,21.80305556,-79.98444444,Trinidad and the Valley de los Ingenios,Cuba,535
239,Natural,0,20.45,-75.0,Alejandro de Humboldt National Park,Cuba,989
240,Cultural,0,20.03,-75.39138889,Archaeological Landscape of the First Coffee Plantations in the South-East of Cuba,Cuba,1178
241,Cultural,0,34.79833,33.34333,Choirokoitia,Cyprus,1927
242,Cultural,0,34.92027778,33.09583333,Painted Churches in the Troodos Region,Cyprus,401
243,Cultural,0,34.75833,32.40556,Paphos,Cyprus,85
244,Cultural,0,50.08972,14.41944,Historic Centre of Prague,Czechia,1928
245,Cultural,0,48.81666667,14.31666667,Historic Centre of ?eský Krumlov,Czechia,732
246,Cultural,0,48.77583,16.775,Lednice-Valtice Cultural Landscape,Czechia,899
247,Cultural,0,49.21722222,15.87888889,Jewish Quarter and St Procopius' Basilica in T?ebí?,Czechia,2258
248,Cultural,0,49.5802,15.9420583333,Pilgrimage Church of St John of Nepomuk at Zelená Hora,Czechia,816
249,Cultural,0,49.5939361111,17.2504583333,Holy Trinity Column in Olomouc,Czechia,1010
250,Cultural,0,49.18333,15.45,Historic Centre of Tel?,Czechia,738
251,Cultural,0,48.95972222,14.25277778,Holašovice Historic Village,Czechia,1012
252,Cultural,0,50.05665,15.4842583333,Landscape for Breeding and Training of Ceremonial Carriage Horses at Kladruby nad Labem,Czechia,2281
253,Cultural,0,49.3,17.37722222,Gardens and Castle at Krom??íž,Czechia,1011
254,Cultural,0,49.95,15.2666666667,Kutná Hora: Historical Town Centre with the Church of St Barbara and the Cathedral of Our Lady at Sedlec,Czechia,865
255,Cultural,0,49.2071833333,16.6160555556,Tugendhat Villa in Brno,Czechia,1226
256,Cultural,0,49.87361,16.31444,Litomyšl Castle,Czechia,1054
257,Cultural,0,50.4065277778,12.8373444444,Erzgebirge/Krušnoho?í Mining Region,Czechia,2267
258,Natural,1,7.60318,-8.39097,Mount Nimba Strict Nature Reserve,Côte d'Ivoire,173
259,Cultural,0,5.1958333333,3.7363888889,Historic Town of Grand-Bassam,Côte d'Ivoire,1919
260,Natural,0,5.75,-7.66667,Taï National Park,Côte d'Ivoire,216
261,Natural,0,9.0,-4.0,Comoé National Park,Côte d'Ivoire,252
262,Cultural,0,37.9816666667,126.5080555556,Historic Monuments and Sites in Kaesong,Democratic People's Republic of Korea,1878
263,Cultural,0,38.86305556,125.415,Complex of Koguryo Tombs,Democratic People's Republic of Korea,1269
264,Natural,1,4.0,29.25,Garamba National Park,Democratic Republic of the Congo,149
265,Natural,1,0.916666667,29.16666667,Virunga National Park,Democratic Republic of the Congo,67
266,Natural,1,2.0,28.5,Okapi Wildlife Reserve,Democratic Republic of the Congo,849
267,Natural,1,-2.0,21.0,Salonga National Park,Democratic Republic of the Congo,314
268,Natural,1,-2.5,28.75,Kahuzi-Biega National Park,Democratic Republic of the Congo,150
269,Cultural,0,55.9136111111,12.3577777778,The par force hunting landscape in North Zealand,Denmark,2030
270,Natural,0,55.2672222222,12.4233333333,Stevns Klint,Denmark,1973
271,Cultural,0,67.0639305556,-51.4332055556,Aasivissuit – Nipisat. Inuit Hunting Ground between Ice and Sea,Denmark,2221
272,Cultural,0,61.1644444444,-45.5980555556,Kujataa Greenland: Norse and Inuit Farming at the Edge of the Ice Cap,Denmark,2154
273,Cultural,0,55.75638889,9.42,"Jelling Mounds, Runic Stones and Church",Denmark,2316
274,Natural,0,69.13333333,-49.5,Ilulissat Icefjord,Denmark,1330
275,Cultural,0,56.03889,12.62083333,Kronborg Castle,Denmark,824
276,Cultural,0,55.64222222,12.07972222,Roskilde Cathedral,Denmark,822
277,Cultural,0,55.3555555556,9.4813888889,"Christiansfeld, a Moravian Church Settlement",Denmark,2029
278,Natural,0,15.26666667,-61.28333333,Morne Trois Pitons National Park,Dominica,962
279,Cultural,0,18.48333333,-69.91666667,Colonial City of Santo Domingo,Dominican Republic,615
280,Cultural,0,-2.883333333,-78.98333333,Historic Centre of Santa Ana de los Ríos de Cuenca,Ecuador,1014
281,Cultural,0,-0.003888889,-78.5,City of Quito,Ecuador,5
282,Natural,0,-0.81667,-91.0,Galápagos Islands,Ecuador,4
283,Natural,0,-1.83333,-78.33333,Sangay National Park,Ecuador,290
284,Cultural,1,30.8358333333,29.66666667,Abu Mena,Egypt,96
285,Cultural,0,25.73333,32.6,Ancient Thebes with its Necropolis,Egypt,93
286,Cultural,0,30.05,31.26111,Historic Cairo,Egypt,95
287,Cultural,0,29.97604,31.13041,Memphis and its Necropolis – the Pyramid Fields from Giza to Dahshur,Egypt,92
288,Cultural,0,22.3372222222,31.6258055556,Nubian Monuments from Abu Simbel to Philae,Egypt,94
289,Natural,0,29.33333,30.18333,Wadi Al-Hitan (Whale Valley),Egypt,1363
290,Cultural,0,28.55623,33.97543,Saint Catherine Area,Egypt,1116
291,Cultural,0,13.8275,-89.36916667,Joya de Cerén Archaeological Site,El Salvador,799
292,Cultural,0,15.3352777778,38.9358333333,Asmara: A Modernist African City,Eritrea,2131
293,Cultural,0,59.0577777778,26.3377777777,Struve Geodetic Arc,Estonia,1364
294,Cultural,0,59.43333,24.73333333,Historic Centre (Old Town) of Tallinn,Estonia,1626
295,Cultural,0,14.13019,38.71861,Aksum,Ethiopia,18
296,Cultural,0,12.02935,39.04042,"Rock-Hewn Churches, Lalibela",Ethiopia,21
297,Cultural,0,11.10006,40.57939,Lower Valley of the Awash,Ethiopia,13
298,Cultural,0,8.43491,38.6121,Tiya,Ethiopia,15
299,Cultural,0,12.60692,37.46617,"Fasil Ghebbi, Gondar Region",Ethiopia,22
300,Cultural,0,9.3088888888,42.1377777777,"Harar Jugol, the Fortified Historic Town",Ethiopia,1452
301,Natural,0,13.1833333333,38.0666666667,Simien National Park,Ethiopia,12
302,Cultural,0,5.3,37.4,Konso Cultural Landscape,Ethiopia,1846
303,Cultural,0,4.8,35.96666667,Lower Valley of the Omo,Ethiopia,20
304,Cultural,0,-17.6833777778,178.8345333333,Levuka Historical Port Town,Fiji,1886
305,Cultural,0,61.12056,21.7775,Bronze Age Burial Site of Sammallahdenmäki,Finland,686
306,Cultural,0,62.25,25.18333,Petäjävesi Old Church,Finland,691
307,Cultural,0,60.14722,24.98722,Fortress of Suomenlinna,Finland,690
308,Cultural,0,61.12806,21.51167,Old Rauma,Finland,1718
309,Natural,0,63.3,21.3,High Coast / Kvarken Archipelago,Finland,1050
310,Cultural,0,61.06194,26.64083,Verla Groundwood and Board Mill,Finland,885
